id,Familia
Eriophyllum lanatum (Pursh) J.Forbes,Asteraceae
Silene gallica L.,Caryophyllaceae
Leontodon saxatilis Lam.,Asteraceae
Daucus rouyi Spalik & Reduron,Apiaceae
Seseli annuum L.,Apiaceae
Tolpis staticifolia (All.) Sch.Bip.,Asteraceae
Hieracium alpinum L.,Asteraceae
Microseris lanceolata (Walp.) Sch.Bip.,Asteraceae
Crucianella maritima L.,Rubiaceae
Argyranthemum adauctum (Link) Humphries,Asteraceae
Argyranthemum tenerifae Humphries,Asteraceae
Urospermum dalechampii (L.) Scop. ex F.W.Schmidt,Asteraceae
Malacothrix californica DC.,Asteraceae
Rubus discolor Weihe & Nees,Rosaceae
Teucrium gnaphalodes L'Hér.,Lamiaceae
Echium judaeum Lacaita,Boraginaceae
Hippocrepis biflora Spreng.,Fabaceae
Frankenia hirsuta L.,Frankeniaceae
Hedypnois rhagadioloides (L.) F.W.Schmidt,Asteraceae
Anthyllis hermanniae L.,Fabaceae
Centaurea spinosa L.,Asteraceae
Jacobaea maritima (L.) Pelser & Meijden,Asteraceae
Raphanus raphanistrum L.,Brassicaceae
Limonium tarcoense Arrigoni & Diana,Plumbaginaceae
Hormathophylla spinosa (L.) P.Küpfer,Brassicaceae
Polygonum aviculare L.,Polygonaceae
Lotus sessilifolius DC.,Fabaceae
Hornungia alpina (L.) O.Appel,Brassicaceae
Limonium cordatum (L.) Mill.,Plumbaginaceae
Calystegia soldanella (L.) R.Br.,Convolvulaceae
Centaurea aspera L.,Asteraceae
Portulaca oleracea L.,Portulacaceae
Tribulus terrestris L.,Zygophyllaceae
Calendula arvensis M.Bieb.,Asteraceae
Trifolium nigrescens Viv.,Fabaceae
Scrophularia frutescens L.,Scrophulariaceae
Cistus symphytifolius Lam.,Cistaceae
